centroid,log(zero_cross),type
2334.8514654611117,-5.627021413522739,kick
350.72533613195606,-6.437951629739068,kick
1188.640442194999,-5.744804449179123,kick
809.8698818303704,-6.571483022363591,kick
400.9440271587489,-6.214808078424858,kick
302.4340574602714,-6.320168594082684,kick
772.5274278309735,-5.259296633397422,kick
2142.2115644674413,-6.1194978986205335,kick
3718.9030698474608,-3.8730022722775312,kick
1813.374982499371,-5.744804449179123,kick
1369.405396607423,-6.214808078424858,kick
1644.708616412725,-5.0208856099524235,kick
4810.1341654855005,-4.186659831132572,kick
1659.506583446918,-5.627021413522739,kick
4168.675377053509,-4.456950160872484,kick
3615.164526925875,-4.017583501088638,kick
3660.9957181990458,-4.0065336649020535,kick
2653.0195697320505,-4.374258445027371,kick
2592.1937830702627,-4.906475258774679,kick
3838.052458214308,-3.8539540773068364,kick
2945.5323895520605,-5.221556305414575,kick
1853.089131021825,-3.763802980312539,kick
3123.805818502492,-4.474341903584354,kick
2301.1161340505796,-5.952443813957367,kick
1854.2571794023922,-5.878335841803645,kick
1568.6994908961942,-6.214808078424858,kick
5423.894740978635,-3.649858720963321,kick
559.9286404355503,-5.952443813957367,kick
1322.6161634355979,-4.08657637257559,kick
621.2852089235253,-5.878335841803645,kick
1395.1684294911252,-4.879807011692518,kick
1312.0814634029325,-5.627021413522739,kick
1960.841741520796,-6.571483022363591,kick
691.6102883985852,-5.744804449179123,kick
4584.337583738032,-4.510059986186433,kick
2151.1020454602804,-6.1194978986205335,kick
395.56280001038544,-6.725633702190849,kick
705.3732722544345,-5.472870733695481,kick
4381.715087321062,-5.1851886612437,kick
732.0171763409232,-6.214808078424858,kick
3706.967587536059,-4.08657637257559,kick
2983.0900416612903,-4.186659831132572,kick
564.9846912718671,-6.032486521630903,kick
1196.6467259911133,-6.571483022363591,kick
2975.185462675984,-4.52840912485463,kick
4252.484060626759,-4.226933730270512,kick
4514.415943283435,-5.0208856099524235,kick
962.0690025353944,-5.627021413522739,kick
956.7868202894159,-5.051657268619177,kick
1618.4968247035308,-6.725633702190849,kick
2855.1719866345493,-4.625572873308277,kick
2724.874072234762,-4.710730681648584,kick
642.0992705898211,-5.952443813957367,kick
4975.20045465384,-3.963516279818363,kick
875.8124915645402,-5.952443813957367,kick
4778.50354012842,-3.375729614916244,kick
6588.245496760336,-3.4054053830623605,kick
4459.4819071025795,-4.423048609196803,kick
1460.76074983212,-5.472870733695481,kick
1410.6486369398722,-5.878335841803645,kick
405.1786331957387,-5.472870733695481,kick
3669.9384115375888,-4.4398557275131845,kick
191.31336719653325,-6.214808078424858,kick
4252.441337687198,-4.226933730270512,kick
1047.7356052150262,-6.1194978986205335,kick
2475.538283202395,-4.585567538694578,kick
1778.6797907141477,-5.684179827362688,kick
3991.9839875308157,-4.906475258774679,kick
5151.600371630857,-3.604738285682852,kick
2698.3852929099376,-4.406519307245593,kick
2477.8122860428743,-4.199905057882593,kick
4187.1310254770815,-5.744804449179123,kick
4775.833540167065,-5.472870733695481,kick
4294.113005179712,-3.8445643369569975,kick
635.8212162036571,-6.320168594082684,kick
2297.771975395818,-4.933874232962793,kick
1343.3605125459426,-5.572954192252463,kick
368.90003994591785,-5.381898955489754,kick
4293.078521950787,-5.521660897864913,kick
333.27258722469895,-5.572954192252463,kick
1836.0062784110987,-6.571483022363591,kick
1397.964858918996,-5.684179827362688,kick
1981.1748442188427,-4.96204510992949,kick
3946.980589664851,-6.214808078424858,kick
2129.587358820713,-4.566149452837476,kick
482.4466087030632,-6.032486521630903,kick
7606.290350181472,-3.454798138391937,kick
3605.359753999094,-5.627021413522739,kick
1852.0389155800244,-6.571483022363591,kick
3712.6375492390634,-4.240727052402848,kick
1825.1799056874197,-4.406519307245593,kick
4407.743790332876,-3.604738285682852,kick
1623.3437012270495,-5.339339341070958,kick
4609.369991881489,-4.327738429392478,kick
3035.116726661221,-4.110673924154651,kick
3066.883337739862,-5.426350718060588,kick
5224.390240344945,-4.605370165990758,kick
5028.111232832425,-4.2832866668216445,kick
3789.9574993225788,-4.297885466242797,kick
1003.8957528796118,-6.214808078424858,kick
1639.0444683769147,-6.1194978986205335,kick
1665.8568934710734,-5.426350718060588,kick
1928.9507656173655,-5.521660897864913,kick
4782.973934035302,-3.4611473660705956,kick
3005.612810219898,-5.083405966933758,kick
1445.522502491481,-6.1194978986205335,kick
2374.046072542799,-4.667245569708845,kick
1603.961305898221,-5.15009734143243,kick
4232.66027549197,-3.922273321284314,kick
229.9261384705951,-6.320168594082684,kick
1272.1025996235674,-5.521660897864913,kick
2245.7619803493244,-3.2495350123555755,rim
3273.9153560749382,-2.907921376233944,rim
3664.8880288923647,-2.956711540403376,rim
2691.2572058108203,-2.893375665231565,rim
329.41624398208256,-7.131098810299013,rim
5007.14381784736,-3.119230469901151,rim
4398.953540684581,-2.3498766805305626,rim
2135.9331965376737,-3.024331728078355,rim
4891.3482039265,-3.5337865497105674,rim
4514.156272261916,-2.5641498371311195,rim
2419.561820681739,-2.9959322535566573,rim
4408.349271358871,-1.2745952486251482,rim
3417.78075852111,-2.8897720577282664,rim
6350.769595268273,-2.3456925740079884,rim
4483.856039785273,-2.679662724252964,rim
2916.421136854501,-2.745952048288888,rim
3807.9175838640476,-2.7711899808787503,rim
6873.9027153926245,-4.585567538694578,rim
8187.255893465483,-1.7616242494346483,rim
2187.9711599306574,-3.8539540773068364,rim
5163.447496541124,-3.4236429706121414,rim
4346.296652166523,-3.4054053830623605,rim
4023.828503461489,-2.4397509280698695,rim
6861.742601333972,-2.144073381841891,rim
4421.460921141851,-2.3796661173326696,rim
3912.8277222944635,-3.123765625066542,rim
1567.5766507303206,-4.803821104714596,rim
3112.8241009208596,-1.0884659766166316,rim
